id,name,similar_questions
136,Single Number,"['Single Number II', 'Single Number III', 'Missing Number', 'Find the Duplicate Number', 'Find the Difference']"
133,Clone Graph,['Copy List with Random Pointer']
132,Palindrome Partitioning II,['Palindrome Partitioning']
131,Palindrome Partitioning,['Palindrome Partitioning II']
130,Surrounded Regions,"['Number of Islands', 'Walls and Gates']"
129,Sum Root to Leaf Numbers,"['Path Sum', 'Binary Tree Maximum Path Sum', 'Smallest String Starting From Leaf']"
128,Longest Consecutive Sequence,['Binary Tree Longest Consecutive Sequence']
127,Word Ladder,"['Word Ladder II', 'Minimum Genetic Mutation']"
126,Word Ladder II,['Word Ladder']
125,Valid Palindrome,"['Palindrome Linked List', 'Valid Palindrome II']"
124,Binary Tree Maximum Path Sum,"['Path Sum', 'Sum Root to Leaf Numbers', 'Path Sum IV', 'Longest Univalue Path']"
123,Best Time to Buy and Sell Stock III,"['Best Time to Buy and Sell Stock', 'Best Time to Buy and Sell Stock II', 'Best Time to Buy and Sell Stock IV', 'Maximum Sum of 3 Non-Overlapping Subarrays']"
122,Best Time to Buy and Sell Stock II,"['Best Time to Buy and Sell Stock', 'Best Time to Buy and Sell Stock III', 'Best Time to Buy and Sell Stock IV', 'Best Time to Buy and Sell Stock with Cooldown', 'Best Time to Buy and Sell Stock with Transaction Fee']"
121,Best Time to Buy and Sell Stock,"['Maximum Subarray', 'Best Time to Buy and Sell Stock II', 'Best Time to Buy and Sell Stock III', 'Best Time to Buy and Sell Stock IV', 'Best Time to Buy and Sell Stock with Cooldown']"
119,Pascal's Triangle II,"[""Pascal's Triangle""]"
118,Pascal's Triangle,"[""Pascal's Triangle II""]"
117,Populating Next Right Pointers in Each Node II,['Populating Next Right Pointers in Each Node']
116,Populating Next Right Pointers in Each Node,"['Populating Next Right Pointers in Each Node II', 'Binary Tree Right Side View']"
114,Flatten Binary Tree to Linked List,['Flatten a Multilevel Doubly Linked List']
113,Path Sum II,"['Path Sum', 'Binary Tree Paths', 'Path Sum III', 'Path Sum IV']"
112,Path Sum,"['Path Sum II', 'Binary Tree Maximum Path Sum', 'Sum Root to Leaf Numbers', 'Path Sum III', 'Path Sum IV']"
111,Minimum Depth of Binary Tree,"['Binary Tree Level Order Traversal', 'Maximum Depth of Binary Tree']"
110,Balanced Binary Tree,['Maximum Depth of Binary Tree']
109,Convert Sorted List to Binary Search Tree,['Convert Sorted Array to Binary Search Tree']
108,Convert Sorted Array to Binary Search Tree,['Convert Sorted List to Binary Search Tree']
107,Binary Tree Level Order Traversal II,"['Binary Tree Level Order Traversal', 'Average of Levels in Binary Tree']"
106,Construct Binary Tree from Inorder and Postorder Traversal,['Construct Binary Tree from Preorder and Inorder Traversal']
105,Construct Binary Tree from Preorder and Inorder Traversal,['Construct Binary Tree from Inorder and Postorder Traversal']
104,Maximum Depth of Binary Tree,"['Balanced Binary Tree', 'Minimum Depth of Binary Tree', 'Maximum Depth of N-ary Tree']"
103,Binary Tree Zigzag Level Order Traversal,['Binary Tree Level Order Traversal']
102,Binary Tree Level Order Traversal,"['Binary Tree Zigzag Level Order Traversal', 'Binary Tree Level Order Traversal II', 'Minimum Depth of Binary Tree', 'Binary Tree Vertical Order Traversal', 'Average of Levels in Binary Tree', 'N-ary Tree Level Order Traversal', 'Cousins in Binary Tree']"
98,Validate Binary Search Tree,"['Binary Tree Inorder Traversal', 'Find Mode in Binary Search Tree']"
96,Unique Binary Search Trees,['Unique Binary Search Trees II']
95,Unique Binary Search Trees II,"['Unique Binary Search Trees', 'Different Ways to Add Parentheses']"
94,Binary Tree Inorder Traversal,"['Validate Binary Search Tree', 'Binary Tree Preorder Traversal', 'Binary Tree Postorder Traversal', 'Binary Search Tree Iterator', 'Kth Smallest Element in a BST', 'Closest Binary Search Tree Value II', 'Inorder Successor in BST', 'Convert Binary Search Tree to Sorted Doubly Linked List', 'Minimum Distance Between BST Nodes']"
93,Restore IP Addresses,['IP to CIDR']
92,Reverse Linked List II,['Reverse Linked List']
91,Decode Ways,['Decode Ways II']
90,Subsets II,['Subsets']
89,Gray Code,['1-bit and 2-bit Characters']
88,Merge Sorted Array,"['Merge Two Sorted Lists', 'Squares of a Sorted Array', 'Interval List Intersections']"
85,Maximal Rectangle,"['Largest Rectangle in Histogram', 'Maximal Square']"
84,Largest Rectangle in Histogram,['Maximal Rectangle']
83,Remove Duplicates from Sorted List,['Remove Duplicates from Sorted List II']
82,Remove Duplicates from Sorted List II,['Remove Duplicates from Sorted List']
81,Search in Rotated Sorted Array II,['Search in Rotated Sorted Array']
80,Remove Duplicates from Sorted Array II,['Remove Duplicates from Sorted Array']
79,Word Search,['Word Search II']
78,Subsets,"['Subsets II', 'Generalized Abbreviation', 'Letter Case Permutation']"
77,Combinations,"['Combination Sum', 'Permutations']"
76,Minimum Window Substring,"['Substring with Concatenation of All Words', 'Minimum Size Subarray Sum', 'Sliding Window Maximum', 'Permutation in String', 'Smallest Range', 'Minimum Window Subsequence']"
75,Sort Colors,"['Sort List', 'Wiggle Sort', 'Wiggle Sort II']"
74,Search a 2D Matrix,['Search a 2D Matrix II']
73,Set Matrix Zeroes,['Game of Life']
72,Edit Distance,"['One Edit Distance', 'Delete Operation for Two Strings', 'Minimum ASCII Delete Sum for Two Strings', 'Uncrossed Lines']"
70,Climbing Stairs,"['Min Cost Climbing Stairs', 'Fibonacci Number']"
69,Sqrt(x),"['Pow(x, n)', 'Valid Perfect Square']"
67,Add Binary,"['Add Two Numbers', 'Multiply Strings', 'Plus One', 'Add to Array-Form of Integer']"
66,Plus One,"['Multiply Strings', 'Add Binary', 'Plus One Linked List', 'Add to Array-Form of Integer']"
65,Valid Number,['String to Integer (atoi)']
64,Minimum Path Sum,"['Unique Paths', 'Dungeon Game', 'Cherry Pickup']"
63,Unique Paths II,"['Unique Paths', 'Unique Paths III']"
62,Unique Paths,"['Unique Paths II', 'Minimum Path Sum', 'Dungeon Game']"
61,Rotate List,"['Rotate Array', 'Split Linked List in Parts']"
60,Permutation Sequence,"['Next Permutation', 'Permutations']"
59,Spiral Matrix II,['Spiral Matrix']
57,Insert Interval,"['Merge Intervals', 'Range Module']"
56,Merge Intervals,"['Insert Interval', 'Meeting Rooms', 'Meeting Rooms II', 'Teemo Attacking', 'Add Bold Tag in String', 'Range Module', 'Employee Free Time', 'Partition Labels', 'Interval List Intersections']"
55,Jump Game,['Jump Game II']
54,Spiral Matrix,['Spiral Matrix II']
53,Maximum Subarray,"['Best Time to Buy and Sell Stock', 'Maximum Product Subarray', 'Degree of an Array', 'Longest Turbulent Subarray']"
52,N-Queens II,['N-Queens']
51,N-Queens,"['N-Queens II', 'Grid Illumination']"
50,"Pow(x, n)","['Sqrt(x)', 'Super Pow']"
49,Group Anagrams,"['Valid Anagram', 'Group Shifted Strings']"
47,Permutations II,"['Next Permutation', 'Permutations', 'Palindrome Permutation II', 'Number of Squareful Arrays']"
46,Permutations,"['Next Permutation', 'Permutations II', 'Permutation Sequence', 'Combinations']"
45,Jump Game II,['Jump Game']
44,Wildcard Matching,['Regular Expression Matching']
43,Multiply Strings,"['Add Two Numbers', 'Plus One', 'Add Binary', 'Add Strings']"
42,Trapping Rain Water,"['Container With Most Water', 'Product of Array Except Self', 'Trapping Rain Water II', 'Pour Water']"
41,First Missing Positive,"['Missing Number', 'Find the Duplicate Number', 'Find All Numbers Disappeared in an Array', 'Couples Holding Hands']"
40,Combination Sum II,['Combination Sum']
39,Combination Sum,"['Letter Combinations of a Phone Number', 'Combination Sum II', 'Combinations', 'Combination Sum III', 'Factor Combinations', 'Combination Sum IV']"
38,Count and Say,"['Encode and Decode Strings', 'String Compression']"
37,Sudoku Solver,"['Valid Sudoku', 'Unique Paths III']"
36,Valid Sudoku,['Sudoku Solver']
35,Search Insert Position,['First Bad Version']
34,Find First and Last Position of Element in Sorted Array,['First Bad Version']
33,Search in Rotated Sorted Array,"['Search in Rotated Sorted Array II', 'Find Minimum in Rotated Sorted Array']"
32,Longest Valid Parentheses,['Valid Parentheses']
31,Next Permutation,"['Permutations', 'Permutations II', 'Permutation Sequence', 'Palindrome Permutation II']"
30,Substring with Concatenation of All Words,['Minimum Window Substring']
28,Implement strStr(),"['Shortest Palindrome', 'Repeated Substring Pattern']"
27,Remove Element,"['Remove Duplicates from Sorted Array', 'Remove Linked List Elements', 'Move Zeroes']"
26,Remove Duplicates from Sorted Array,"['Remove Element', 'Remove Duplicates from Sorted Array II']"
25,Reverse Nodes in k-Group,['Swap Nodes in Pairs']
24,Swap Nodes in Pairs,['Reverse Nodes in k-Group']
23,Merge k Sorted Lists,"['Merge Two Sorted Lists', 'Ugly Number II']"
22,Generate Parentheses,"['Letter Combinations of a Phone Number', 'Valid Parentheses']"
21,Merge Two Sorted Lists,"['Merge k Sorted Lists', 'Merge Sorted Array', 'Sort List', 'Shortest Word Distance II']"
20,Valid Parentheses,"['Generate Parentheses', 'Longest Valid Parentheses', 'Remove Invalid Parentheses', 'Check If Word Is Valid After Substitutions']"
18,4Sum,"['Two Sum', '3Sum', '4Sum II']"
17,Letter Combinations of a Phone Number,"['Generate Parentheses', 'Combination Sum', 'Binary Watch']"
16,3Sum Closest,"['3Sum', '3Sum Smaller']"
15,3Sum,"['Two Sum', '3Sum Closest', '4Sum', '3Sum Smaller']"
13,Roman to Integer,['Integer to Roman']
12,Integer to Roman,"['Roman to Integer', 'Integer to English Words']"
11,Container With Most Water,['Trapping Rain Water']
10,Regular Expression Matching,['Wildcard Matching']
9,Palindrome Number,['Palindrome Linked List']
8,String to Integer (atoi),"['Reverse Integer', 'Valid Number']"
7,Reverse Integer,"['String to Integer (atoi)', 'Reverse Bits']"
5,Longest Palindromic Substring,"['Shortest Palindrome', 'Palindrome Permutation', 'Palindrome Pairs', 'Longest Palindromic Subsequence', 'Palindromic Substrings']"
3,Longest Substring Without Repeating Characters,"['Longest Substring with At Most Two Distinct Characters', 'Longest Substring with At Most K Distinct Characters', 'Subarrays with K Different Integers']"
2,Add Two Numbers,"['Multiply Strings', 'Add Binary', 'Sum of Two Integers', 'Add Strings', 'Add Two Numbers II', 'Add to Array-Form of Integer']"
1,Two Sum,"['3Sum', '4Sum', 'Two Sum II - Input array is sorted', 'Two Sum III - Data structure design', 'Subarray Sum Equals K', 'Two Sum IV - Input is a BST']"
